X,Y,t_id,name_nummer,art,typ,symbolori,hoehe,einbaujahr,eigentuemer,versorgungsdruck,fliessdruck,druckzone,druckzone_bemerkung,art_code,lagebestimmung,lagebestimmung_code,zustand,icon_url
7.59108197202494,46.2112288203855,"1","201",borne hydrant une sortie,,100,1283.62,"1970",inconnue,10.4,0,Ayer,EP_Z_1,"1",précis,"0",unbekannt/inconnue,./0.png
7.58339855779263,46.1980586122089,"2","813",borne hydrant une sortie,,100,0,"2014",inconnue,5,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58293905462216,46.1980861723264,"3","814",borne hydrant une sortie,,339.1,0,"1989",inconnue,4,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58383562747749,46.1971036457827,"4","812",borne hydrant une sortie,,100,0,"1989",inconnue,6.5,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58336143623459,46.1965513757232,"5","811",borne hydrant une sortie,,100,0,"1970",inconnue,6.5,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58434926056236,46.1971258512265,"6","815",borne hydrant une sortie,,100,0,"1970",inconnue,7,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58579206116737,46.19711518944,"7","807",borne hydrant une sortie,,377.4,0,"1970",inconnue,5.5,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58561711203385,46.1966596713851,"8","808",borne hydrant une sortie,,100,0,"2013",inconnue,7.5,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58626004135912,46.1967387102208,"9","803",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58628845659233,46.1956688275931,"10","804",borne hydrant une sortie,,100,0,"1970",inconnue,9,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.5847433571883,46.1954459701927,"11","809",borne hydrant une sortie,,90.3,0,"1970",inconnue,9,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58545225301408,46.2163332450955,"12","109",borne hydrant une sortie,,140.7,50,"2002",inconnue,11,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.5870933264591,46.2150891638031,"13","107",borne hydrant une sortie,,100,50,"1970",inconnue,8,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58631271869033,46.2181317342473,"14","116",borne hydrant une sortie,,100,50,"2002",inconnue,5.5,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58148434226397,46.221131861821,"15","121",borne hydrant une sortie,,100,50,"1970",inconnue,15,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58386288509702,46.2179305669428,"16","123",borne hydrant une sortie,,100,50,"1970",inconnue,14,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58326903778104,46.2184342685488,"17","122",borne hydrant une sortie,,100,50,"1970",inconnue,15,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.5850598822816,46.2190694821668,"18","118",borne hydrant une sortie,,100,50,"2002",inconnue,0,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.5856849879832,46.2193599577872,"19","117",borne hydrant une sortie,,100,50,"1970",inconnue,3.6,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58439765717929,46.2206545438175,"20","119",borne hydrant une sortie,,100,50,"2002",inconnue,5.6,0,Vissoie,EP_Z_7,"1",précis,"0",unbekannt/inconnue,./0.png
7.58381245775352,46.2218296160917,"21","120",borne hydrant une sortie,,100,50,"2002",inconnue,6,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58560428932553,46.1966708679381,"22",,bouche arrosage,,100,0,"2013",inconnue,0,0,St-Jean,EP_Z_6,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.60006612078502,46.1828505035852,"23","325",borne hydrant une sortie,,100,1480.21,"1989",inconnue,11.8,0,Ayer,EP_Z_1,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.62631834488718,46.1351210400641,"24","417",borne hydrant une sortie,,100,1672.81,"1900",inconnue,10.6,0,Zinal,EP_Z_8,"1",précis,"0",unbekannt/inconnue,./0.png
7.58996825946288,46.2175319913447,"25","127",borne hydrant une sortie,,100,50,"1970",inconnue,9,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58968637441204,46.2150047966035,"26","112",borne hydrant une sortie,,100,50,"1970",inconnue,6,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58831025592072,46.2149711086519,"27","111",borne hydrant une sortie,,100,50,"1935",inconnue,6.4,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58748061837193,46.2173341806068,"28","115",borne hydrant une sortie,,100,50,"1930",inconnue,3,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58556297377735,46.2141565604003,"29","125",borne hydrant une sortie,,100,50,"1970",inconnue,9.8,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
