X,Y,t_id,art,name_nummer,symbolori,lagebestimmung,lagebestimmung_code,hoehe,einbaujahr,druckzone,druckzone_bemerkung,bemerkung,art_code,leistung,eigentuemer,betreiber,konzessionaer,unterhaltspflichtiger,zustand,icon_url
7.55807316288606,46.171733036733,"1",station de captage (captage eau de source),"14",247.2,inconnue,"1",0,"1900",Grimentz,EP_Z_3,Alt. 230m,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.55817019785182,46.1716978654592,"2",station de captage (captage eau de source),"14",379.7,inconnue,"1",0,"1900",Grimentz,EP_Z_3,Alt. 2030m,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.56613961859677,46.1732957521565,"3",station de captage (chambre eau),,100,précis,"0",0,"1900",Grimentz,EP_Z_3,Alt. 1758m,"7","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.56800077396496,46.1705072064615,"4",station de captage (captage eau de source),"23",318.4,précis,"0",0,"1900",Grimentz,EP_Z_3,,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.55929035262961,46.1728576062084,"5",station de captage (captage eau de source),"16",102,inconnue,"1",0,"1900",Grimentz,EP_Z_3,Alt. 1995m,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.55951293701353,46.1728409247173,"6",station de captage (chambre eau),,100,inconnue,"1",0,"1900",Grimentz,EP_Z_3,,"7","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.55927811539936,46.1728132033088,"7",station de captage (captage eau de source),"17",269.6,inconnue,"1",0,"1900",Grimentz,EP_Z_3,Alt. 1992m,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.5656727994522,46.1730495144778,"8",station de captage (captage eau de source),,240.9,inconnue,"1",0,"1900",Grimentz,EP_Z_3,Alt. 1760,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.55911625421462,46.1731781906658,"9",station de captage (captage eau de source),"15",121.1,inconnue,"1",0,"1900",Grimentz,EP_Z_3,Alt 2005m,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.56569270862787,46.1732587109048,"10",station de captage (captage eau de source),,305.7,inconnue,"1",0,"1900",Grimentz,EP_Z_3,Alt. 1760,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.56898717021069,46.1696262435223,"13",station de captage (chambre eau),,100,inconnue,"1",0,"1900",Grimentz,EP_Z_3,Chambre de captage et de mise ne charge (pompage),"7","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.57180334239117,46.1714943269249,"14",station de captage (captage eau de source),22c,100,inconnue,"1",0,"1900",Grimentz,EP_Z_3,,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.57156363682146,46.1712127047918,"15",station de captage (captage eau de source),22b,100,inconnue,"1",0,"1900",Grimentz,EP_Z_3,,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.57136573896717,46.1710441469346,"16",station de captage (captage eau de source),22a,100,inconnue,"1",0,"1900",Grimentz,EP_Z_3,,"3","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
7.5714033454387,46.1713811760289,"17",station de captage (chambre eau),,100,inconnue,"1",0,"1900",Grimentz,EP_Z_3,,"7","0.0",inconnue,inconnue,inconnue,inconnue,unbekannt/inconnue,./0.png
